train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1,learning_rate
1.8033900985448184,0.4169611307420495,0.3616336637102687,0.4169611307420495,0.3774498482207239,2.217913963755623,0.11475409836065574,0.013168503090567052,0.11475409836065574,0.023625843780135006,0.0002
1.0928986978193895,0.7667844522968198,0.7759245167047604,0.7667844522968198,0.7581914041117974,1.9045898210806924,0.22950819672131148,0.12962962962962962,0.22950819672131148,0.14109110454178983,0.0004
0.7984036215623781,0.8833922261484098,0.8846305892242289,0.8833922261484098,0.8825026152170877,1.3885633750040023,0.6721311475409836,0.7341530054644808,0.6721311475409836,0.648994599814272,0.0006000000000000001
0.8112194068440279,0.8621908127208481,0.8700221373139203,0.8621908127208481,0.862368294778016,2.487920686846874,0.5901639344262295,0.5318761384335154,0.5901639344262295,0.5207252856433184,0.0008
0.7374852059586731,0.8904593639575972,0.8938468194139002,0.8904593639575972,0.891280964296356,1.1807685054716517,0.819672131147541,0.8151183970856102,0.819672131147541,0.7888524590163934,0.001
0.7019668537399373,0.9222614840989399,0.9308730777186803,0.9222614840989399,0.9227998432308226,2.7477789785041185,0.4262295081967213,0.4781420765027322,0.4262295081967213,0.37778478352248845,0.001
0.683258947761657,0.9469964664310954,0.9551415530876661,0.9469964664310954,0.9476048602619883,2.818665066703421,0.5573770491803278,0.6834369700395704,0.5573770491803278,0.5285525039623401,0.0009938503261272714
0.7835402985764898,0.8939929328621908,0.9229096606363756,0.8939929328621908,0.8848258442605272,1.1221726995999697,0.7377049180327869,0.6715686274509804,0.7377049180327869,0.6775760190341726,0.0009755527298894294
0.6896925562262114,0.9187279151943463,0.9231461224667653,0.9187279151943463,0.9192410005836997,0.969426583071224,0.8360655737704918,0.8473623371164355,0.8360655737704918,0.8265772478887233,0.0009455577588320898
0.6460801638899759,0.9399293286219081,0.9429132312524539,0.9399293286219081,0.9409587208759759,0.7966712635071551,0.8852459016393442,0.8872329855936413,0.8852459016393442,0.8728597449908926,0.0009046039886902864
0.6404838161839193,0.9399293286219081,0.9425730097692786,0.9399293286219081,0.940889852840267,0.6212629275243791,0.9344262295081968,0.9387978142076503,0.9344262295081968,0.9330601092896175,0.0008536998372026805
0.648411572611374,0.9434628975265018,0.9465723352649147,0.9434628975265018,0.943770899878509,1.0253205475259999,0.7213114754098361,0.8135245901639344,0.7213114754098361,0.7130013607205339,0.0007940987335200904
0.6085121406261996,0.9611307420494699,0.9640451954330351,0.9611307420494699,0.9613351915521465,0.6831353951673038,0.9180327868852459,0.9521857923497268,0.9180327868852459,0.9060492761959543,0.0007272682546199037
0.6228507628710447,0.9681978798586572,0.9727482306987608,0.9681978798586572,0.9687738336689171,0.8480174150623259,0.8524590163934426,0.8959761549925485,0.8524590163934426,0.8255919854280509,0.0006548539886902864
0.607773147497076,0.9611307420494699,0.9624358488978632,0.9611307420494699,0.9606759048601473,1.414156497501936,0.7049180327868853,0.7042622950819672,0.7049180327868853,0.6585837887067396,0.0005786390152875954
0.6100863001371862,0.9540636042402827,0.9595602669807617,0.9540636042402827,0.9549690730834286,0.8182013308415648,0.8524590163934426,0.8978562421185373,0.8524590163934426,0.830327868852459,0.0005005000000000001
0.5814790858396793,0.9681978798586572,0.9697568073165662,0.9681978798586572,0.9685080140273328,0.5761166224714185,0.9508196721311475,0.9655737704918033,0.9508196721311475,0.9484527044797055,0.00042236098471240465
0.5767378503779219,0.9681978798586572,0.9690015935702904,0.9681978798586572,0.9684524091637572,0.5421245977526805,0.9836065573770492,0.985655737704918,0.9836065573770492,0.9835224884405211,0.0003461460113097139
0.5660443868316947,0.9787985865724381,0.9798897959736268,0.9787985865724381,0.9787507571135146,0.5504436238867337,0.9836065573770492,0.985655737704918,0.9836065573770492,0.9835224884405211,0.00027373174538009644
0.5787206488026326,0.9717314487632509,0.9719244263563481,0.9717314487632509,0.9717226500288539,0.5527223964206508,0.9508196721311475,0.9569672131147541,0.9508196721311475,0.9502732240437158,0.00020690126647990973
0.5600355998366123,0.9823321554770318,0.9830817003961881,0.9823321554770318,0.9823178128857182,0.5212110994292087,0.9836065573770492,0.985655737704918,0.9836065573770492,0.9835224884405211,0.00014730016279731955
0.5584335716790109,0.9787985865724381,0.9821461781662636,0.9787985865724381,0.9791770359678407,0.5174365942595435,0.9836065573770492,0.985655737704918,0.9836065573770492,0.9835224884405211,9.639601130971382e-05
0.5385230609047961,0.9893992932862191,0.9897238730056751,0.9893992932862191,0.9893948952879764,0.5234365590283128,1.0,1.0,1.0,1.0,5.544224116791029e-05
0.5531799340416602,0.9823321554770318,0.9825282417817752,0.9823321554770318,0.9822681339836247,0.5190212335742888,1.0,1.0,1.0,1.0,2.5447270110570814e-05
0.5477190577941733,0.9823321554770318,0.9825282417817752,0.9823321554770318,0.9822681339836247,0.5194561862554706,1.0,1.0,1.0,1.0,7.149673872728739e-06
